GO Highest Offense Desc,GO Location Zip
THEFT FROM BUILDING           ,78701
THEFT OF LICENSE PLATE        ,78751
BURGLARY NON RESIDENCE        ,78745
THEFT                         ,78745
BURGLARY NON RESIDENCE        ,78745
AGG ASSAULT                   ,78745
BURGLARY NON RESIDENCE        ,78745
THEFT                         ,78758
THEFT OF BICYCLE              ,78704
BURGLARY OF RESIDENCE         ,78757
THEFT                         ,78758
BURGLARY OF RESIDENCE         ,78758
BURGLARY OF VEHICLE           ,78704
AUTO THEFT                    ,78758
AGG ASSAULT                   ,78758
BURGLARY OF VEHICLE           ,78704
BURGLARY OF VEHICLE           ,78704
THEFT                         ,78745
THEFT                         ,78746
BURGLARY OF VEHICLE           ,78753
THEFT                         ,78758
BURGLARY OF VEHICLE           ,78748
THEFT                         ,78703
BURGLARY NON RESIDENCE        ,78703
THEFT                         ,78703
THEFT                         ,78753
BURGLARY OF VEHICLE           ,78747
BURGLARY OF VEHICLE           ,78753
THEFT                         ,78753
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78748
BURGLARY NON RESIDENCE        ,78748
THEFT                         ,78748
AGG ASSAULT FAM/DATE VIOLENCE ,78753
THEFT                         ,78705
AGG ASLT STRANGLE/SUFFOCATE   ,78753
THEFT                         ,78753
BURGLARY OF RESIDENCE         ,78717
AUTO THEFT                    ,78753
BURGLARY OF VEHICLE           ,78717
BURG NON RESIDENCE SHEDS      ,78750
BURGLARY OF VEHICLE           ,78750
THEFT OF AUTO PARTS           ,78748
BURGLARY OF VEHICLE           ,78753
THEFT                         ,78753
BURGLARY NON RESIDENCE        ,78748
BURGLARY OF VEHICLE           ,78705
THEFT FROM AUTO               ,78758
THEFT OF LICENSE PLATE        ,78757
BURGLARY OF VEHICLE           ,78757
THEFT                         ,78757
BURGLARY OF VEHICLE           ,78757
THEFT OF BICYCLE              ,78757
BREACH OF COMPUTER SECURITY   ,78757
BURGLARY NON RESIDENCE        ,78757
THEFT OF BICYCLE              ,78703
THEFT OF LICENSE PLATE        ,78757
BURGLARY OF VEHICLE           ,78758
BURGLARY OF RESIDENCE         ,78741
AGG ASLT STRANGLE/SUFFOCATE   ,78741
BURGLARY OF VEHICLE           ,78741
THEFT                         ,78705
AUTO THEFT                    ,78705
BURGLARY OF RESIDENCE         ,78758
BURGLARY NON RESIDENCE        ,78747
AUTO THEFT                    ,78758
BURGLARY OF VEHICLE           ,78758
THEFT OF BICYCLE              ,78704
BURGLARY OF RESIDENCE         ,78748
THEFT                         ,78702
BURGLARY OF RESIDENCE         ,78704
THEFT                         ,78702
BURGLARY NON RESIDENCE        ,78701
THEFT                         ,78759
BURGLARY OF VEHICLE           ,78759
THEFT OF BICYCLE              ,78759
THEFT OF BICYCLE              ,78759
AUTO THEFT                    ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF RESIDENCE         ,78745
BURG NON RESIDENCE SHEDS      ,78751
BURGLARY OF VEHICLE           ,78753
THEFT                         ,78704
AGG ASSAULT FAM/DATE VIOLENCE ,78753
AGG ASSAULT FAM/DATE VIOLENCE ,78757
AUTO THEFT                    ,78721
THEFT                         ,78721
THEFT                         ,78741
THEFT                         ,78741
AUTO THEFT                    ,78741
BURGLARY OF RESIDENCE         ,78758
BURGLARY OF RESIDENCE         ,78745
AGG ASSAULT                   ,78745
AUTO THEFT                    ,78704
BURGLARY OF VEHICLE           ,78704
BURGLARY OF VEHICLE           ,78704
BURGLARY OF VEHICLE           ,78704
